color;category;name;x;y;url;rss
#90D4CD;APPLE;Michaël Villar;380;681;http://www.michaelvillar.com/blog/;http://feeds2.feedburner.com/michaelv
#90D4CD;APPLE;TUAW;416;682;http://www.tuaw.com/;http://feeds.tuaw.com/weblogsinc/tuaw
#90D4CD;APPLE;MacBidouille;444;682;http://www.macbidouille.com/;http://feeds.macbidouille.com/macbidouille/
#90D4CD;APPLE;Macplus;472;682;http://www.macplus.net/;http://feeds.feedburner.com/macplus/depeches
#90D4CD;APPLE;iGeneration;500;682;http://www.igeneration.fr/;http://feed.igeneration.fr/igeneration
#90D4CD;APPLE;Cuk;528;682;http://www.cuk.ch/;http://rss.cuk.ch/articles.xml
#90D4CD;APPLE;AppleInsider;556;682;http://www.appleinsider.com/;http://www.appleinsider.com/appleinsider.rss
#90D4CD;APPLE;MacGeneration Blog;584;682;http://blog.macgeneration.com/;http://feed.macgeneration.com/billetes
#90D4CD;APPLE;Elitist Snob;612;682;http://www.elitistsnob.com/;http://feeds.feedburner.com/ElitistSnob
#90D4CD;APPLE;Applesfera;644;682;http://www.applesfera.com/;http://feeds.weblogssl.com/applesfera
#FFCF00;BD/ ILLUS.;Chez kek;92;562;http://blog.zanorg.com/;http://blog.zanorg.com/rss/fil_rss.xml
#FFCF00;BD/ ILLUS.;Geek&poke;134;562;http://geekandpoke.typepad.com/;http://feeds.feedburner.com/GeekAndPoke
#FFCF00;BD/ ILLUS.;Ombligopolis;164;562;http://ombligopolis.blogspot.com/;http://ombligopolis.blogspot.com/feeds/posts/default
#FFCF00;BD/ ILLUS.;Cretinolandia;194;562;http://cretinolandia.blogspot.com/;http://cretinolandia.blogspot.com/feeds/posts/default
#FFCF00;BD/ ILLUS.;Trop d'la bulle;225;562;http://graphistivo.blogspot.com/;http://graphistivo.blogspot.com/feeds/posts/default
#FFCF00;BD/ ILLUS.;L'actu en patate;255;562;http://vidberg.blog.lemonde.fr/;http://vidberg.blog.lemonde.fr/feed/
#FFCF00;BD/ ILLUS.;Ma vie est une bande dessinée;286;562;http://blog.chabd.com/;http://blog.chabd.com/abonnement.xml
#FFCF00;BD/ ILLUS.;Javier Prieto;317;562;http://www.javiprieto.com/comicsmenu.htm;http://www.javiprieto.com/comicsmenu.htm
#FFCF00;BD/ ILLUS.;xkcd.com;347;562;http://xkcd.com/;http://xkcd.com/rss.xml
#FFCF00;BD/ ILLUS.;WartMag;379;562;http://www.wartmag.com/;http://feeds.feedburner.com/wartmag
#FFCF00;BD/ ILLUS.;Bouletcorp;416;562;http://www.bouletcorp.com/blog/;http://feeds.feedburner.com/bouletcorp
#FFCF00;BD/ ILLUS.;Les petits riens;444;562;http://www.lewistrondheim.com/blog/index.php;http://www.lewistrondheim.com/blog/rss/fil_rss.xml
#FFCF00;BD/ ILLUS.;Lommsek;472;562;http://lommsek.blogspot.com/;http://lommsek.blogspot.com/feeds/posts/default
#FFCF00;BD/ ILLUS.;A boire et à manger;500;562;http://long.blog.lemonde.fr/;http://long.blog.lemonde.fr/feed/
#FFCF00;BD/ ILLUS.;Mauro Entrialgo;528;562;http://www.mauroentrialgo.com/;http://feeds.feedburner.com/LoQueHagoYLoQueMeHacen
#FFCF00;BD/ ILLUS.;Mazapilones;556;562;http://www.mazapilones.com/;http://feeds.feedburner.com/Mazapilones
#FFCF00;BD/ ILLUS.;Melakarnets;584;562;http://www.melakarnets.com/;http://www.melakarnets.com/rss.php
#FFCF00;BD/ ILLUS.;La Cárcel de Papel;612;562;http://www.lacarceldepapel.com/;http://www.lacarceldepapel.com/feed/
#FFCF00;BD/ ILLUS.;Le blog de Gally;644;562;http://missgally.com/blog/;http://missgally.com/blog/rss.php
#FFCF00;BD/ ILLUS.;Tonterias del Rock;675;562;http://tonteriasdelrock.blogspot.com/;http://tonteriasdelrock.blogspot.com/feeds/posts/default
#FFCF00;BD/ ILLUS.;Tu mourras moins bête;703;562;http://tumourrasmoinsbete.blogspot.com/;http://tumourrasmoinsbete.blogspot.com/feeds/posts/default
#C693C7;CARTO-DATAVIZ;Ouinon;29;458;http://www.ouinon.net/index.php;http://www.ouinon.net/rss.php
#C693C7;CARTO-DATAVIZ;Serial Mapper;31;420;http://www.serialmapper.com/;http://www.serialmapper.com/atom.xml
#C693C7;CARTO-DATAVIZ;FlowinData;31;380;http://flowingdata.com/;http://feeds.feedburner.com/FlowingData
#C693C7;CARTO-DATAVIZ;Information Aesthetics;31;340;http://infosthetics.com/;http://feeds.infosthetics.com/infosthetics.com
#C693C7;CARTO-DATAVIZ;Datavisualization;31;300;http://www.datavisualization.ch/;http://feeds.feedburner.com/Datavisualization
#C693C7;CARTO-DATAVIZ;Information is beautiful;31;260;http://www.informationisbeautiful.net/;http://www.informationisbeautiful.net/feed/
#C693C7;CARTO-DATAVIZ;La cartoteca;31;220;http://alpoma.net/carto/;http://alpoma.net/carto/?feed=rss2
#0B4A9E;(WEB)DESIGN;Spoongraphics;29;614;http://www.blog.spoongraphics.co.uk/;http://feeds2.feedburner.com/SpoonGraphics
#C4CA0C;(WEB)DESIGN;Web, je vous dis web;134;458;http://blog.o2sources.com/;http://blog.o2sources.com/feed
#0B4A9E;(WEB)DESIGN;Komodomedia;29;575;http://www.komodomedia.com/;http://feeds.feedburner.com/komodomedia
#0B4A9E;(WEB)DESIGN;Vectips;29;537;http://vectips.com/;http://feeds.feedburner.com/vectips
#0B4A9E;(WEB)DESIGN;Janko At Warp Speed;29;499;http://www.jankoatwarpspeed.com/;http://feeds.feedburner.com/JankoAtWarpSpeed
#0B4A9E;(WEB)DESIGN;Pixenjoy;81;458;http://www.pixenjoy.com/;http://feeds.feedburner.com/Pixenjoy
#0B4A9E;(WEB)DESIGN;Script & Style;209;458;http://www.pixenjoy.com/;http://feeds.feedburner.com/ScriptAndStyle
#0B4A9E;(WEB)DESIGN;Michaël Villar;380;681;http://www.michaelvillar.com/blog/;http://feeds2.feedburner.com/michaelv
#0B4A9E;(WEB)DESIGN;Ouinon;29;458;http://www.ouinon.net/index.php;http://www.ouinon.net/rss.php
#0B4A9E;(WEB)DESIGN;Smashing Magazine;252;458;http://www.smashingmagazine.com;http://feeds.feedburner.com/SmashingMagazine
#0B4A9E;(WEB)DESIGN;I love typography;288;458;http://ilovetypography.com/;http://feeds.feedburner.com/ILoveTypography
#0B4A9E;(WEB)DESIGN;CSS Globe;323;458;http://cssglobe.com/;http://feeds.feedburner.com/cssglobe
#0B4A9E;(WEB)DESIGN;Nettuts;385;458;http://net.tutsplus.com/;http://feeds.feedburner.com/nettuts
#0B4A9E;(WEB)DESIGN;css4design;385;483;http://www.css4design.com/;http://feeds.feedburner.com/css4design
#0B4A9E;(WEB)DESIGN;Covert Prestige;379;520;http://www.covertprestige.net/blog/;http://www.covertprestige.net/blog/atom.xml
#0B4A9E;(WEB)DESIGN;Deziner Folio;379;603;http://www.dezinerfolio.com/;http://feeds.feedburner.com/dezinerfolio
#0B4A9E;(WEB)DESIGN;Molly;379;642;http://www.molly.com/;http://www.molly.com/feed/atom/
#C4CA0C;HIGH-TECH;FrAndroid;135;681;http://www.frandroid.com/;http://feeds.feedburner.com/Frandroid
#C4CA0C;HIGH-TECH;Genbeta;135;642;http://www.genbeta.com/;http://feeds.weblogssl.com/genbeta
#C4CA0C;HIGH-TECH;Error500;135;605;http://www.error500.net/;http://feeds.feedburner.com/error500?q=node/feed
#C4CA0C;HIGH-TECH;2803;135;529;http://www.2803.fr/;http://feeds.feedburner.com/2803
#C4CA0C;HIGH-TECH;Lifehacker;135;494;http://lifehacker.com/;http://feeds.gawker.com/lifehacker/full
#C4CA0C;HIGH-TECH;Web, je vous dis web;134;458;http://blog.o2sources.com/;http://blog.o2sources.com/feed
#C4CA0C;HIGH-TECH;Alt1040;135;430;http://alt1040.com/;http://feeds.hipertextual.com/alt1040
#C4CA0C;HIGH-TECH;FredCavazza;135;21;http://www.fredcavazza.net;http://www.fredcavazza.net/feed/
#C4CA0C;HIGH-TECH;Webatou;135;400;http://blog.webatou.info/;http://blog.webatou.info/feed/atom
#C4CA0C;HIGH-TECH;ReadWriteWeb [en];135;370;http://www.readwriteweb.com/;http://feeds.feedburner.com/readwriteweb
#C4CA0C;HIGH-TECH;TechCrunch [en];135;340;http://www.techcrunch.com;http://feeds.feedburner.com/TechCrunch
#C4CA0C;HIGH-TECH;Standblog;135;310;http://standblog.org/blog/;http://standblog.org/blog/feed/atom
#C4CA0C;HIGH-TECH;AccessOWeb;135;280;http://www.accessoweb.com/;http://feeds.feedburner.com/accessoweb/XGSC?format=xml
#C4CA0C;HIGH-TECH;Mashable! ;135;250;http://fr.mashable.com;http://feeds.feedburner.com/Mashablefrance
#C4CA0C;HIGH-TECH;Webmonkey;135;220;http://www.webmonkey.com/;http://www.webmonkey.com/rss/blog
#C4CA0C;HIGH-TECH;Geek&poke;134;562;http://geekandpoke.typepad.com/;http://feeds.feedburner.com/GeekAndPoke
#C4CA0C;HIGH-TECH;Enrique Dans;135;190;http://www.enriquedans.com/;http://feeds.feedburner.com/ElBlogDeEnriqueDans
#C4CA0C;HIGH-TECH;eCuaderno;135;160;http://www.ecuaderno.com/;http://feeds2.feedburner.com/ecuaderno
#C4CA0C;HIGH-TECH;Cocktail de Web News ;134;128;http://roget.biz;http://feeds2.feedburner.com/rogetthierry
#C4CA0C;HIGH-TECH;Xataka;135;94;http://www.xataka.com/;http://feeds.weblogssl.com/xataka2
#C4CA0C;HIGH-TECH;Martin Varsavsky;135;58;http://spanish.martinvarsavsky.net/;http://feeds.feedburner.com/martinvarsavsky/spanish
#F989AD;JAVASCRIPT;Ajaxian;438;458;http://ajaxian.com/;http://feeds.feedburner.com/ajaxian
#F989AD;JAVASCRIPT;aNieto2K;470;458;http://www.anieto2k.com/;http://feeds.feedburner.com/anieto2k/MtKP
